full_path,line,fixed_line
Magdeburg Hbf|Magdeburg Neustadt|Magdeburg Eichenweiler|Magdeburg Rothensee|Wolmirstedt|Zielitz Ort|Tangerhütte|Stendal Hbf|Kläden Stendal|Hohenwulsch|Brunau Packebusch|Fleetmark|Pretzier Altm|Salzwedel,20,RE20
Höllriegelskreuth|Pullach|Großhesselohe Isartalbf|München Solln|München Siemenswerke|München Mittersendling|München Heimeranplatz|München Pasing|Puchheim|Eichenau Oberbay|Fürstenfeldbruck|Buchenau Oberbay|Schöngeising|Grafrath,20,S20
Stolberg Rheinl Hbf Gl.44|Eschweiler St.Jöris|Alsdorf Poststraße|Alsdorf Mariadorf|Alsdorf Kellersberg|Alsdorf Annapark|Alsdorf Busch|Herzogenrath August Schmidt Platz|Herzogenrath Alt Merkstein|Herzogenrath|Kohlscheid|Aachen West|Aachen Schanz|Aachen Hbf|Aachen Rothe Erde,20,RB20
Litomerice mesto|Velke Zernoseky|Sebuzin|Usti nad Labem Strekov|Usti nad Labem hl.n.|Nestedice|Decin hl.n.|Dolni Zleb|Schöna|Schmilka Hirschmühle|Krippen|Bad Schandau|Pirna|Heidenau|Dresden Niedersedlitz Hp,20,RB20
Magdeburg Hbf|Magdeburg Neustadt|Magdeburg Eichenweiler|Magdeburg Rothensee|Wolmirstedt|Zielitz Ort|Tangerhütte|Stendal Hbf|Steinfeld Stendal|Kläden Stendal|Hohenwulsch|Brunau Packebusch|Fleetmark|Pretzier Altm|Salzwedel,20,RE20
Höllriegelskreuth|Pullach|Großhesselohe Isartalbf|München Solln|München Siemenswerke|München Mittersendling|München Heimeranplatz|München Pasing|München Leienfelsstr.|München Aubing|Puchheim|Eichenau Oberbay|Fürstenfeldbruck|Buchenau Oberbay|Schöngeising|Grafrath,20,S20
Uelzen|Stederdorf Kr Uelzen|Wieren|Soltendieck|Schnega|Salzwedel|Pretzier Altm|Fleetmark|Brunau Packebusch|Hohenwulsch|Kläden Stendal|Stendal Hbf|Tangerhütte|Zielitz Ort|Wolmirstedt|Magdeburg Neustadt,20,RE20
Uelzen|Stederdorf Kr Uelzen|Wieren|Soltendieck|Schnega|Salzwedel|Pretzier Altm|Fleetmark|Brunau Packebusch|Hohenwulsch|Kläden Stendal|Steinfeld Stendal|Stendal Hbf|Tangerhütte|Wolmirstedt|Magdeburg Neustadt,20,RE20
Eschweiler St.Jöris|Alsdorf Poststraße|Alsdorf Mariadorf|Alsdorf Kellersberg|Alsdorf Annapark|Alsdorf Busch|Herzogenrath August Schmidt Platz|Herzogenrath Alt Merkstein|Herzogenrath|Kohlscheid|Aachen West|Aachen Schanz|Aachen Hbf|Aachen Rothe Erde|Eilendorf|Stolberg Rheinl Hbf,20,RB20
Geltendorf|Türkenfeld|Grafrath|Schöngeising|Buchenau Oberbay|Fürstenfeldbruck|Eichenau Oberbay|Puchheim|München Aubing|München Leienfelsstr.|München Pasing|München Heimeranplatz|München Mittersendling|München Siemenswerke|München Solln|Großhesselohe Isartalbahnhof,20,S20
Erfurt Hbf|Vieselbach|Hopfgarten Weimar|Weimar|Oßmannstedt|Apolda|Niedertrebra|Bad Sulza|Großheringen|Bad Kösen|Naumburg Saale Hbf|Leißling|Weißenfels|Großkorbetha|Leuna Werke Süd|Leuna Werke Nord|Merseburg Hbf,20,RB20
Litomerice mesto|Velke Zernoseky|Sebuzin|Usti nad Labem Strekov|Usti nad Labem hl.n.|Nestedice|Decin hl.n.|Dolni Zleb|Schöna|Schmilka Hirschmühle|Krippen|Bad Schandau|Pirna|Heidenau|Dresden Niedersedlitz|Dresden Dobritz|Dresden Reick|Dresden Strehlen,20,RB20
Salzwedel|Pretzier Altm|Fleetmark|Brunau Packebusch|Hohenwulsch|Kläden Stendal|Stendal Hbf|Tangerhütte|Zielitz Ort|Wolmirstedt|Magdeburg Rothensee|Magdeburg Eichenweiler|Magdeburg Neustadt|Magdeburg Hbf|Magdeburg Hasselbachplatz|Magdeburg Buckau|Magdeburg SKET Industriepark|Magdeburg Salbke|Magdeburg Südost|Schönebeck Frohse|Schönebeck Elbe,20,RE20
